Number Size,Vedic Math,Traditional
8,2991,2565
9,3440,3325
10,3952,3232
11,4612,3851
12,5220,4240
13,6030,4927
14,7180,5704
15,7601,6847
16,8380,7235
17,9415,8035
18,12014,10504
19,11610,10151
20,12453,11039
21,13916,12431
22,15196,13118
23,16239,14322
24,18218,15553
25,19704,17003
26,20898,18600
27,22106,19719
28,23786,21624
29,26627,23270
30,28323,24723
31,28488,26164
32,31693,28764
33,34029,29822
34,34579,31527
35,36938,34195
36,38603,36154
37,41565,37067
38,44351,40597
39,44833,41644
40,47200,44178
41,51905,47471
42,54034,50679
43,56347,50924
44,58886,53471
45,59324,55424
46,62480,59559
47,64702,60733
48,68895,66020
49,72732,66967
50,76602,70223
51,78632,72490
52,80692,75121
53,84351,78748
54,89207,81915
55,92104,86528
56,92705,86664
57,94928,89721
58,99800,93439
59,104964,99363
60,106367,100414
61,109054,104797
62,113222,108655
63,119510,113380
64,123051,112917
65,124451,120939
66,128472,122650
67,132030,125677
68,137097,129790
69,139902,134249
70,143680,137786
71,147457,143803
72,150465,144302
73,158291,152693
74,161868,154259
75,168526,159504
76,170995,165006
77,173271,165036
78,182551,171988
79,182943,176277
80,185505,182011
81,191182,186848
82,201116,192051
83,203862,199344
84,206446,201226
85,212324,203571
86,218466,212288
87,223233,218564
88,225874,225632
89,232851,227481
90,239198,229961
91,245489,234217
92,252420,242293
93,254329,242192
94,258173,251952
95,264446,255762
96,276590,262200
97,277444,264158
98,279970,271797
99,287661,278498
100,299250,291189
